topic_idx,pola,topic_words
topic_9,0.8023646819309558,"post,twitter,video,facebook,tweet,social_media,share,write,call,make"
topic_1,0.7539641131015391,"police,officer,man,black,protest,people,arrest,kill,protester,matter"
topic_11,0.5121150468373928,"covid,dr,coronavirus,health,disease,drug,expert,risk,treatment,director"
topic_2,0.416530769735078,"coronavirus,pandemic,federal,supply,government,make,effort,ventilator,response,agency"
topic_8,0.38867872139084714,"state,order,reopen,county,california,governor,business,open,jersey,guideline"
topic_12,0.29864474426943,"mr,biden,campaign,election,party,democratic,voter,joe_biden,republican,primary"
topic_33,0.29434891291551785,"hospital,care,health,patient,medical,covid,center,facility,home,doctor"
topic_10,0.2603359682446432,"trump,president,white_house,donald,administration,fauci,coronavirus,vice,briefing,task_force"
topic_30,0.12732357966804098,"country,lockdown,government,coronavirus,measure,people,italy,restriction,travel,border"
topic_27,0.006907268002967537,"year,company,market,stock,price,drop,month,business,global,sale"
