topic_idx,pola,topic_words
topic_1,0.5797527508133347,"police,officer,man,black,protest,people,arrest,kill,protester,matter"
topic_9,0.5135294568451041,"post,twitter,video,facebook,tweet,social_media,share,write,call,make"
topic_10,0.509323658554413,"trump,president,white_house,donald,administration,fauci,coronavirus,vice,briefing,task_force"
topic_8,0.4954352918625842,"state,order,reopen,county,california,governor,business,open,jersey,guideline"
topic_30,0.37872043128949634,"country,lockdown,government,coronavirus,measure,people,italy,restriction,travel,border"
topic_2,0.26423859286946916,"coronavirus,pandemic,federal,supply,government,make,effort,ventilator,response,agency"
topic_33,0.2260961712258513,"hospital,care,health,patient,medical,covid,center,facility,home,doctor"
topic_11,0.15783224557545217,"covid,dr,coronavirus,health,disease,drug,expert,risk,treatment,director"
topic_12,0.0652851557396758,"mr,biden,campaign,election,party,democratic,voter,joe_biden,republican,primary"
topic_27,0.003000475786716972,"year,company,market,stock,price,drop,month,business,global,sale"
