topic_idx,pola,topic_words
topic_10,0.434347202,"trump,president,white_house,donald,administration,fauci,coronavirus,vice,briefing,task_force"
topic_12,0.413437488,"mr,biden,campaign,election,party,democratic,voter,joe_biden,republican,primary"
topic_2,0.347946153,"coronavirus,pandemic,federal,supply,government,make,effort,ventilator,response,agency"
topic_33,0.346998666,"hospital,care,health,patient,medical,covid,center,facility,home,doctor"
topic_8,0.332685119,"state,order,reopen,county,california,governor,business,open,jersey,guideline"
topic_30,0.328233828,"country,lockdown,government,coronavirus,measure,people,italy,restriction,travel,border"
topic_27,0.299821263,"year,company,market,stock,price,drop,month,business,global,sale"
topic_9,0.22888577,"post,twitter,video,facebook,tweet,social_media,share,write,call,make"
topic_11,0.186302348,"covid,dr,coronavirus,health,disease,drug,expert,risk,treatment,director"
topic_1,0.109531917,"police,officer,man,black,protest,people,arrest,kill,protester,matter"
