topic_idx,pola,topic_words
topic_9,0.34320189425071246,"post,twitter,video,facebook,tweet,social_media,share,write,call,make"
topic_10,0.29903147718636136,"trump,president,white_house,donald,administration,fauci,coronavirus,vice,briefing,task_force"
topic_2,0.25662634489122754,"coronavirus,pandemic,federal,supply,government,make,effort,ventilator,response,agency"
topic_11,0.1991596009678483,"covid,dr,coronavirus,health,disease,drug,expert,risk,treatment,director"
topic_1,0.14562324288862966,"police,officer,man,black,protest,people,arrest,kill,protester,matter"
topic_30,0.13901169591965531,"country,lockdown,government,coronavirus,measure,people,italy,restriction,travel,border"
topic_8,0.11324070994578012,"state,order,reopen,county,california,governor,business,open,jersey,guideline"
topic_33,0.1085543435986315,"hospital,care,health,patient,medical,covid,center,facility,home,doctor"
topic_12,0.091187312676479,"mr,biden,campaign,election,party,democratic,voter,joe_biden,republican,primary"
topic_27,0.0034640102325209088,"year,company,market,stock,price,drop,month,business,global,sale"
