topic_idx,pola,topic_words
topic_9,0.49004885736803294,"post,twitter,video,facebook,tweet,social_media,share,write,call,make"
topic_12,0.44822971979211657,"mr,biden,campaign,election,party,democratic,voter,joe_biden,republican,primary"
topic_33,0.3060145231495641,"hospital,care,health,patient,medical,covid,center,facility,home,doctor"
topic_2,0.301250536838393,"coronavirus,pandemic,federal,supply,government,make,effort,ventilator,response,agency"
topic_30,0.27126959506199777,"country,lockdown,government,coronavirus,measure,people,italy,restriction,travel,border"
topic_10,0.25897578656201414,"trump,president,white_house,donald,administration,fauci,coronavirus,vice,briefing,task_force"
topic_27,0.23434741483010468,"year,company,market,stock,price,drop,month,business,global,sale"
topic_8,0.2143926941746761,"state,order,reopen,county,california,governor,business,open,jersey,guideline"
topic_11,0.2071036258951075,"covid,dr,coronavirus,health,disease,drug,expert,risk,treatment,director"
topic_1,0.17207212946679418,"police,officer,man,black,protest,people,arrest,kill,protester,matter"
