topic_idx,pola,topic_words
topic_12,0.409222722,"mr,biden,campaign,election,party,democratic,voter,joe_biden,republican,primary"
topic_8,0.375922779,"state,order,reopen,county,california,governor,business,open,jersey,guideline"
topic_1,0.367092402,"police,officer,man,black,protest,people,arrest,kill,protester,matter"
topic_9,0.351567511,"post,twitter,video,facebook,tweet,social_media,share,write,call,make"
topic_33,0.304830692,"hospital,care,health,patient,medical,covid,center,facility,home,doctor"
topic_10,0.267234883,"trump,president,white_house,donald,administration,fauci,coronavirus,vice,briefing,task_force"
topic_2,0.260780372,"coronavirus,pandemic,federal,supply,government,make,effort,ventilator,response,agency"
topic_30,0.255836178,"country,lockdown,government,coronavirus,measure,people,italy,restriction,travel,border"
topic_11,0.19473555,"covid,dr,coronavirus,health,disease,drug,expert,risk,treatment,director"
topic_27,0.181085713,"year,company,market,stock,price,drop,month,business,global,sale"
