topic_idx,pola,topic_words
topic_10,0.656922637609008,"trump,president,white_house,donald,administration,fauci,coronavirus,vice,briefing,task_force"
topic_1,0.5206039756734282,"police,officer,man,black,protest,people,arrest,kill,protester,matter"
topic_8,0.4306332605230837,"state,order,reopen,county,california,governor,business,open,jersey,guideline"
topic_30,0.3068516109586137,"country,lockdown,government,coronavirus,measure,people,italy,restriction,travel,border"
topic_12,0.23691866835641323,"mr,biden,campaign,election,party,democratic,voter,joe_biden,republican,primary"
topic_33,0.2180774823781071,"hospital,care,health,patient,medical,covid,center,facility,home,doctor"
topic_2,0.2140336615517741,"coronavirus,pandemic,federal,supply,government,make,effort,ventilator,response,agency"
topic_9,0.1891303627523722,"post,twitter,video,facebook,tweet,social_media,share,write,call,make"
topic_27,0.1696388875303538,"year,company,market,stock,price,drop,month,business,global,sale"
topic_11,0.1307708555538445,"covid,dr,coronavirus,health,disease,drug,expert,risk,treatment,director"
