topic_idx,pola,topic_words
topic_10,0.4466304562409564,"trump,president,white_house,donald,administration,fauci,coronavirus,vice,briefing,task_force"
topic_12,0.21101651141961003,"mr,biden,campaign,election,party,democratic,voter,joe_biden,republican,primary"
topic_30,0.210880516250538,"country,lockdown,government,coronavirus,measure,people,italy,restriction,travel,border"
topic_2,0.2064214135735325,"coronavirus,pandemic,federal,supply,government,make,effort,ventilator,response,agency"
topic_27,0.17610337354959169,"year,company,market,stock,price,drop,month,business,global,sale"
topic_11,0.17209821094624062,"covid,dr,coronavirus,health,disease,drug,expert,risk,treatment,director"
topic_33,0.11657303244637571,"hospital,care,health,patient,medical,covid,center,facility,home,doctor"
topic_1,0.08647446774872325,"police,officer,man,black,protest,people,arrest,kill,protester,matter"
topic_8,0.04843867860627962,"state,order,reopen,county,california,governor,business,open,jersey,guideline"
topic_9,0.018802800157980568,"post,twitter,video,facebook,tweet,social_media,share,write,call,make"
