topic_idx,pola,topic_words
topic_11,0.5614861351167797,"covid,dr,coronavirus,health,disease,drug,expert,risk,treatment,director"
topic_1,0.4953050005327121,"police,officer,man,black,protest,people,arrest,kill,protester,matter"
topic_33,0.43210745973447273,"hospital,care,health,patient,medical,covid,center,facility,home,doctor"
topic_9,0.2519639380622656,"post,twitter,video,facebook,tweet,social_media,share,write,call,make"
topic_2,0.20581509318743585,"coronavirus,pandemic,federal,supply,government,make,effort,ventilator,response,agency"
topic_10,0.16636176516671547,"trump,president,white_house,donald,administration,fauci,coronavirus,vice,briefing,task_force"
topic_12,0.14839274029449573,"mr,biden,campaign,election,party,democratic,voter,joe_biden,republican,primary"
topic_27,0.12141284790863727,"year,company,market,stock,price,drop,month,business,global,sale"
topic_8,0.08691612282153996,"state,order,reopen,county,california,governor,business,open,jersey,guideline"
topic_30,0.06675507002238402,"country,lockdown,government,coronavirus,measure,people,italy,restriction,travel,border"
