topic_idx,pola,topic_words
topic_33,0.620722225,"hospital,care,health,patient,medical,covid,center,facility,home,doctor"
topic_10,0.581983306,"trump,president,white_house,donald,administration,fauci,coronavirus,vice,briefing,task_force"
topic_1,0.395488826,"police,officer,man,black,protest,people,arrest,kill,protester,matter"
topic_2,0.387446076,"coronavirus,pandemic,federal,supply,government,make,effort,ventilator,response,agency"
topic_11,0.370682834,"covid,dr,coronavirus,health,disease,drug,expert,risk,treatment,director"
topic_12,0.368153502,"mr,biden,campaign,election,party,democratic,voter,joe_biden,republican,primary"
topic_9,0.347489047,"post,twitter,video,facebook,tweet,social_media,share,write,call,make"
topic_8,0.346276216,"state,order,reopen,county,california,governor,business,open,jersey,guideline"
topic_30,0.338667259,"country,lockdown,government,coronavirus,measure,people,italy,restriction,travel,border"
topic_27,0.226587962,"year,company,market,stock,price,drop,month,business,global,sale"
