topic_idx,pola,topic_words
topic_10,0.4153494554764853,"trump,president,white_house,donald,administration,fauci,coronavirus,vice,briefing,task_force"
topic_33,0.3638547180448062,"hospital,care,health,patient,medical,covid,center,facility,home,doctor"
topic_1,0.32109363824450754,"police,officer,man,black,protest,people,arrest,kill,protester,matter"
topic_30,0.3181519216438394,"country,lockdown,government,coronavirus,measure,people,italy,restriction,travel,border"
topic_11,0.20720333385483902,"covid,dr,coronavirus,health,disease,drug,expert,risk,treatment,director"
topic_8,0.19367269329327708,"state,order,reopen,county,california,governor,business,open,jersey,guideline"
topic_27,0.11150510411895276,"year,company,market,stock,price,drop,month,business,global,sale"
topic_12,0.08496684823525846,"mr,biden,campaign,election,party,democratic,voter,joe_biden,republican,primary"
topic_2,0.05352291632182701,"coronavirus,pandemic,federal,supply,government,make,effort,ventilator,response,agency"
topic_9,0.03687128702358608,"post,twitter,video,facebook,tweet,social_media,share,write,call,make"
