topic_idx,pola,topic_words
topic_12,0.643323576313934,"mr,biden,campaign,election,party,democratic,voter,joe_biden,republican,primary"
topic_10,0.5946846790447275,"trump,president,white_house,donald,administration,fauci,coronavirus,vice,briefing,task_force"
topic_8,0.4447011697877485,"state,order,reopen,county,california,governor,business,open,jersey,guideline"
topic_2,0.3732569442727686,"coronavirus,pandemic,federal,supply,government,make,effort,ventilator,response,agency"
topic_33,0.3586570967318003,"hospital,care,health,patient,medical,covid,center,facility,home,doctor"
topic_1,0.3529021989407214,"police,officer,man,black,protest,people,arrest,kill,protester,matter"
topic_30,0.3081218722338859,"country,lockdown,government,coronavirus,measure,people,italy,restriction,travel,border"
topic_9,0.27076510571180995,"post,twitter,video,facebook,tweet,social_media,share,write,call,make"
topic_27,0.26150707820177416,"year,company,market,stock,price,drop,month,business,global,sale"
topic_11,0.22289546493228812,"covid,dr,coronavirus,health,disease,drug,expert,risk,treatment,director"
