topic_idx,pola,topic_words
topic_11,0.24853068924723515,"covid,dr,coronavirus,health,disease,drug,expert,risk,treatment,director"
topic_9,0.20719884961797772,"post,twitter,video,facebook,tweet,social_media,share,write,call,make"
topic_10,0.20505727410843363,"trump,president,white_house,donald,administration,fauci,coronavirus,vice,briefing,task_force"
topic_30,0.19958020556531228,"country,lockdown,government,coronavirus,measure,people,italy,restriction,travel,border"
topic_8,0.18852188862352703,"state,order,reopen,county,california,governor,business,open,jersey,guideline"
topic_27,0.11796959013819064,"year,company,market,stock,price,drop,month,business,global,sale"
topic_1,0.11303586968019744,"police,officer,man,black,protest,people,arrest,kill,protester,matter"
topic_12,0.05906469129845526,"mr,biden,campaign,election,party,democratic,voter,joe_biden,republican,primary"
topic_2,0.0459106683435854,"coronavirus,pandemic,federal,supply,government,make,effort,ventilator,response,agency"
topic_33,0.029204203220323355,"hospital,care,health,patient,medical,covid,center,facility,home,doctor"
